Tue May 08 23:18:55 +0000 2018,Litecoin [LTC] battling it out with Cardano [ADA] – Who will topple whom? https://t.co/Vw3kEVs7zf #altcoin,1
Tue May 08 17:05:13 +0000 2018,thought: Do people really understand Marlowe vs Plutus vs KEVM vs K vs EVM vs LLVM vs IELE? Maybe a good topic for a video #cardano,2
Tue May 08 17:05:09 +0000 2018,https://t.co/tZIE7DgSFD video up for the latest #cardano / $ADA technical report! @cardanocom #blockchain,2
Tue May 08 17:04:58 +0000 2018,Finished watching this talk by @RosuGrigore in preparation for my video on Cardano CL. High chance I had the calend… https://t.co/i76UAY5Acw,2
Tue May 08 17:04:37 +0000 2018,No official #cardano / $ADA technical report but I made a video anyway. Too many juicy updates. @cardanocom… https://t.co/GBTAnyHMAm,2
Tue May 08 17:04:29 +0000 2018,Made my video for the latest #cardano / $ADA roadmap update https://t.co/37JM09kzF9 @InputOutputHK @cardanocom,4
Tue May 08 14:37:46 +0000 2018,The Ethiopian government will be working with #Cardano $ADA to see how blockchain technology can have a positive im… https://t.co/JvOz0gcQkM,5
Tue May 08 03:19:17 +0000 2018,No official #cardano / $ADA technical report but I made a video anyway. Too many juicy updates. @cardanocom… https://t.co/GBTAnyHMAm,2
Tue May 08 02:39:54 +0000 2018,The Ethiopian government will be working with #Cardano $ADA to see how blockchain technology can have a positive im… https://t.co/JvOz0gcQkM,5
Tue May 08 02:31:49 +0000 2018,@Caleb_M_Valko Tron  Cardano  Verge  BNB Coin  EOS  IOStoken  QTUM  and Monroe all have huge potential this year. F… https://t.co/943hdodHfl,0
