Fri May 18 22:08:46 +0000 2018,Thank you to our PTA moms and all of our 2018 Career Day presenters for making @KellyElementary  Career Day a stell… https://t.co/2fWWJe5pgf,0
Fri May 18 21:52:57 +0000 2018,Grand TX to #ACloserListen for selecting @EBakerMusic's stellar debut album #Quadrivium as one of their May picks!… https://t.co/DaQNiuto1u,0
Fri May 18 21:30:46 +0000 2018,Congratulations Lawrence Wong Just Sold at 2232 Benson Ave  2B for $675 000! Stellar job  so happy for our amazing… https://t.co/IrYf152M4L,0
Fri May 18 21:17:18 +0000 2018,@greensideup It’s not for LGS and Dravets and I am sure results weren’t stellar even though they met endpoints!,0
Fri May 18 21:15:04 +0000 2018,Join the PRC’s Digital Community on June 7th as they bring creative directors from @DEVRIESGlobal  @Ogilvy and… https://t.co/HFhOcBPGEe,0
Fri May 18 20:55:57 +0000 2018,Boys Golf with a stellar day  beating Poly 7-2 and scoring a season best aggregate of 198. Freshman Matt Simon shot… https://t.co/6EIXtjFWYC,1
Fri May 18 20:45:11 +0000 2018,https://t.co/u77PewlpML https://t.co/cmZO9fXCm7,1718
Fri May 18 20:42:04 +0000 2018,President Trump says he's nominating Robert Wilkie to lead the VA. https://t.co/hsi0JRRlNb,18
Fri May 18 20:37:39 +0000 2018,The #Ternio public sale starts June 1st and our team streamlined the checkout process!  Here's a sneak peak - simpl… https://t.co/CPOxjJMc34,21
Fri May 18 20:35:06 +0000 2018,2018 has been deadlier for schoolchildren than service members. https://t.co/gUD7bwgIvT,1017
Fri May 18 20:33:12 +0000 2018,As opposed to all times that a school shooting was looking fucking stellar... https://t.co/QaVvVOyQAL,3
Fri May 18 20:33:10 +0000 2018,Qatar is a major theme of Week 79  coming tomorrow: Cohen met with a senior Qatari official in Florida last month … https://t.co/Ga5LFJ8DLz,78
Fri May 18 20:32:52 +0000 2018,Long time coming  first time tweeting. Don’t waste my time with dumb stuff.,3700
Fri May 18 20:31:09 +0000 2018,We can't let Republicans defund Planned Parenthood and put women's health at risk. Sign the petition!,4056
Fri May 18 20:31:03 +0000 2018,@PaulBlackthorne Thank you  Captain Lance. You have been one of the best parts of the series. I always thought of y… https://t.co/hNC4ygHTOY,0
Fri May 18 20:30:33 +0000 2018,Congrats to Alannah Boyle '18  whose stellar contributions to the College and its surrounding communities have earn… https://t.co/M950vQuac7,8
Fri May 18 20:26:06 +0000 2018,@tkimphoto @dzalcman Right?! That quick zoom and pan is stellar,0
Fri May 18 20:23:44 +0000 2018,@StellarLumens Dear StellarLumens  thanks for the shout! We decided to not run a token sale. You can sign up for Be… https://t.co/WNM0LavxmE,1
Fri May 18 20:18:42 +0000 2018,The Sante Fe High School shooting is the third school shooting in the past seven days  and the 22nd since the begin… https://t.co/pmvZrGeWVF,1801
Fri May 18 20:18:12 +0000 2018,Every day that we fail to act on gun violence  we are failing our children. This should be a day for soul searching… https://t.co/KeD5UY3Fzt,25694
Fri May 18 20:16:00 +0000 2018,If “thoughts and prayers” stop mass shootings  why is it that Europe  which is far more secular than the U.S.  has… https://t.co/ytxCkzk5iL,3231
Fri May 18 20:15:19 +0000 2018,@GrimKim "prominently featured a pentagram" ????? thats so misleading,0
Fri May 18 20:14:02 +0000 2018,Father of Santa Fe mass murderer Dimitrios Pagourtzis is a fan of ammosexual ghoul Dana Loesch  spokesperson for do… https://t.co/aMf7ACV3Fb,691
Fri May 18 20:09:57 +0000 2018,@StellarLumens Dear StellarLumens  thanks for the shout! We decided to not run a token sale. You can sign up for Be… https://t.co/WNM0LavxmE,1
Fri May 18 20:07:16 +0000 2018,This is a stellar way of providing accurate information to the public when many false reports gain traction online… https://t.co/bVk6OD9Vpj,0
Fri May 18 20:05:27 +0000 2018,@tousleshommes All three of them  what a stellar line-up!,0
Fri May 18 20:02:48 +0000 2018,@GrimKim he had a hammer sickle pin &gt;____&gt;,0
Fri May 18 19:59:40 +0000 2018,Boys Golf with a stellar day  beating Poly 7-2 and scoring a season best aggregate of 198. Freshman Matt Simon shot… https://t.co/6EIXtjFWYC,1
